disturb	727	3.65	2.19	5.85	2.68	4.88	2.16	10
diver	510	6.31	1.49	5.12	1.68	4.88	1.93	1
divorce	128	2.08	1.94	7.16	2.19	2.88	2.01	29
doctor	129	5.48	2.65	6.04	2.76	4.79	2.85	100
dog	511	7.46	1.70	6.12	1.93	6.08	2.13	75
doll	728	6.88	1.83	4.88	2.49	4.96	1.95	10
dollar	729	7.74	1.28	6.00	2.81	5.74	2.58	46
door	130	5.12	1.42	3.42	2.19	4.62	1.83	312
dove	730	7.32	1.52	3.09	2.49	5.00	1.66	4
dreadful	131	2.19	1.90	5.92	2.62	3.50	2.47	10
dream	132	6.92	1.83	4.62	2.91	6.04	2.03	64
dreary	731	2.86	1.71	2.91	2.27	3.81	1.72	6
dress	133	6.77	1.45	3.65	1.92	5.26	2.03	67
drown	591	1.88	1.24	6.46	2.02	2.96	2.03	3
dummy	732	3.76	1.95	4.32	2.36	3.86	2.20	3
dump	733	2.73	1.61	4.05	2.16	3.62	1.96	4
dustpan	555	3.73	1.61	3.50	2.20	5.50	1.96	.
earth	134	7.35	1.65	4.32	2.70	5.04	2.23	150
easy	734	7.11	1.70	3.47	2.82	6.79	1.69	125
easygoing	135	7.38	1.52	4.43	2.54	5.32	1.74	1
eat	136	7.05	1.93	5.00	2.49	5.30	2.08	61
ecstasy	735	7.80	1.88	6.90	2.29	6.25	2.31	6
education	137	6.80	2.06	5.85	2.52	6.38	2.70	214
egg	736	5.42	1.96	4.00	2.22	4.67	2.01	12
elated	138	7.43	1.95	6.22	2.47	5.52	2.13	3
elbow	737	5.32	1.17	4.10	2.19	4.95	1.28	10
elegant	139	7.56	1.13	4.39	2.55	6.13	2.00	14
elevator	738	5.76	1.48	4.73	1.75	4.62	1.77	12
embarrassed	140	2.43	1.41	5.87	2.69	2.48	1.31	8
embattled	141	4.15	1.35	5.15	2.43	4.69	1.54	1
employment	147	6.72	1.70	5.20	2.16	6.02	2.22	47
engaged	143	8.34	1.20	7.14	2.09	6.64	2.48	47
engine	148	5.09	1.23	3.66	2.38	4.97	1.85	50
enjoyment	145	7.88	1.20	4.80	2.72	6.54	2.02	21
ennui	146	5.06	1.82	4.58	2.31	4.55	1.86	.
enraged	149	2.52	1.68	8.00	2.22	5.86	2.96	1
erotic	512	6.73	1.59	6.77	2.03	5.77	2.25	8
errand	150	4.88	1.03	4.08	1.78	4.24	1.42	7
event	740	6.00	1.26	4.55	2.19	5.30	0.80	81
evil	741	2.46	2.35	6.27	2.54	4.62	2.98	72
excellence	151	8.41	1.02	5.83	2.78	7.24	2.40	15
excitement	152	7.83	2.09	8.07	1.46	6.48	2.29	32
excuse	153	4.19	1.02	4.20	2.02	4.32	1.95	27
execution	154	1.78	1.54	5.83	2.77	4.00	2.95	15
exercise	155	7.26	1.36	6.65	1.99	5.43	2.25	58
fabric	742	5.38	0.97	4.32	2.15	5.24	1.76	15
face	556	6.65	1.41	5.31	2.00	6.04	1.59	371
failure	156	1.36	0.81	5.52	2.86	2.24	2.33	89
fall	743	4.32	2.23	4.81	2.32	3.71	2.17	147
false	744	3.30	1.22	3.60	1.96	3.80	1.44	29
fame	157	7.93	1.31	7.14	1.96	7.00	2.11	18
family	158	7.77	1.37	4.64	2.81	6.00	1.92	331
famous	745	6.69	2.49	5.68	2.66	6.12	2.27	89
fantasy	746	7.42	2.16	4.54	2.94	6.23	2.14	14
farm	557	5.65	1.74	4.19	1.96	5.50	1.94	125
fascinate	159	7.44	1.39	5.72	2.82	6.38	1.98	3
fat	160	1.75	1.62	6.50	2.54	3.60	3.07	60
father	161	7.26	2.24	6.22	2.35	6.83	2.21	383
fatigued	162	3.05	1.54	2.60	2.39	3.30	1.66	3
fault	747	3.75	1.07	4.45	1.36	3.95	1.23	22
favor	748	6.36	1.53	4.23	1.80	5.86	1.67	78
fear	592	1.85	1.22	7.19	1.86	2.62	1.88	127
fearful	163	2.31	1.26	6.65	2.23	3.69	2.35	13
feeble	164	3.04	1.28	4.20	1.83	2.60	1.66	8
festive	749	7.32	2.79	6.54	2.44	5.84	2.34	2
fever	750	2.48	1.66	4.73	2.64	3.38	2.48	19
