Word	Havg	StDev	FreqListRank	TwitterRank
menikmati	455	6.98	0.9366	1149	2107
cintanya	456	6.98	1.2370	--	4296
murah	457	6.98	1.2204	2011	1200
kompak	458	6.98	0.9998	--	4206
jago	459	6.98	0.9366	5078	2082
kebersamaan	460	6.98	1.2036	--	6184
wkwkw	461	6.98	1.7899	--	792
heheh	462	6.98	1.3923	--	1539
mempercayaimu	463	6.96	1.1241	3653	--
hug	464	6.96	1.4136	--	3330
bercanda	465	6.96	1.0490	601	2396
hobby	466	6.96	1.1945	--	5825
mengagumi	467	6.96	1.2930	4737	--
top	468	6.96	1.3547	4718	1728
berpacaran	469	6.96	1.2282	5754	--
peluang	470	6.96	1.1241	2441	4461
kekayaan	471	6.96	1.3395	3920	--
menyukai	472	6.96	0.9889	841	2678
ωkωk	473	6.96	1.6408	--	5954
strong	474	6.96	1.2115	--	2829
do'a	475	6.96	1.5381	--	4513
amin	476	6.96	1.3242	2472	330
rileks	477	6.96	1.0294	5740	--
lol	478	6.94	1.6953	--	894
wkwk	479	6.94	1.3911	--	103
cntik	480	6.94	1.4344	--	3463
respect	481	6.94	1.2521	--	6057
iman	482	6.94	1.3614	3379	4385
nice	483	6.94	1.3001	1484	686
canda	484	6.94	1.1502	--	3225
hohoho	485	6.94	1.8116	--	2810
mewah	486	6.94	1.0768	3228	--
dihormati	487	6.94	1.1323	5158	--
benar	488	6.94	1.2357	51	932
dihargai	489	6.94	1.1502	6226	--
kemajuan	490	6.94	1.2357	3155	--
pengantin	491	6.94	1.1851	2372	--
berkencan	492	6.94	0.9982	3346	--
cerdik	493	6.94	1.1141	6234	--
bijak	494	6.94	1.0956	4012	2920
mendukung	495	6.94	1.1502	2024	3446
bernyanyi	496	6.94	1.1141	1716	--
mempercayainya	497	6.92	1.1753	3186	--
profesional	498	6.92	1.0270	2109	--
mantab	499	6.92	1.5497	--	5592
berjumpa	500	6.92	1.3827	2929	--
aminnn	501	6.92	1.2428	--	5529
dream	502	6.92	1.0850	5443	1202
hero	503	6.92	1.1925	--	5251
seindah	504	6.92	1.1925	--	6221
orangtua	505	6.92	1.5887	2468	3939
pizza	506	6.90	1.1112	2587	4508
motivasi	507	6.90	1.1824	--	3921
nyantai	508	6.90	1.0738	--	4138
cuti	509	6.90	1.1995	4979	5975
piala	510	6.90	1.1650	3267	3547
tercepat	511	6.90	1.1473	6192	5452
pacaran	512	6.90	1.0738	6160	428
bday	513	6.90	1.5286	--	5923
asikk	514	6.90	1.4604	--	3658
fantasi	515	6.90	1.1473	4357	--
nikmatilah	516	6.90	1.2495	5081	--
berbakat	517	6.90	1.1824	3105	--
berani	518	6.90	1.3286	721	918
dipercaya	519	6.90	1.2495	1707	--
cintailah	520	6.90	1.1112	--	5936
kesukaanku	521	6.90	1.0546	5668	--
hidup	522	6.90	1.3887	124	195
ehehe	523	6.88	1.4934	--	3804
asikasik	524	6.88	1.2061	--	6248
ngerayain	525	6.88	1.0999	--	4897
music	526	6.88	1.3192	5191	1372
kepercayaan	527	6.88	1.1542	2047	2398
puji	528	6.88	1.2061	--	3808
ktwa	529	6.88	1.8142	--	5126
ksatria	530	6.88	1.3649	2058	--
dreams	531	6.88	1.2395	--	3993
1st	532	6.88	1.4658	--	3703
jagoan	533	6.88	1.0999	4294	6025
star	534	6.88	1.1718	3597	2990
harmoni	535	6.88	1.2558	--	5649
free	536	6.88	1.3037	3533	1254
putriku	537	6.86	1.2456	1776	--
miliar	538	6.86	1.5651	3286	5061
diandalkan	539	6.86	1.1068	5225	--
mom	540	6.86	1.4709	1313	806
jiahaha	541	6.86	1.7144	--	5423
mantep	542	6.86	1.1250	--	3554
hihi	543	6.86	1.1954	--	788
gagah	544	6.86	1.0692	5845	--
warisan	545	6.86	1.3852	4543	--
doa	546	6.86	1.3250	3315	855
hadiahnya	547	6.86	1.1954	--	5306
easy	548	6.86	1.1068	3398	3762
