Word	Havg	StDev	FreqListRank	TwitterRank
요리	610	6.34	1.0022	--	5615
생생한	611	6.34	0.8947	--	1581
New	612	6.34	0.9607	--	1359
짱이다	613	6.34	1.3644	--	4868
진심으로	614	6.34	1.0806	434	844
데이트를	615	6.34	1.1886	2690	--
하이	616	6.32	1.0774	1941	2677
기부	617	6.32	1.3468	--	5092
웃기는	618	6.32	1.1507	--	6355
친구들과	619	6.32	0.9570	--	4617
놀자	620	6.32	1.0962	--	4399
왕자	621	6.32	1.0190	3168	--
춤을	622	6.32	1.0774	--	6350
가능합니다	623	6.32	0.9134	--	2631
전성기를	624	6.32	1.2362	2153	--
잘자요	625	6.32	1.1328	2296	1712
진심이야	626	6.32	1.1328	2674	--
과자	627	6.32	0.9988	--	6346
